,decade,school,counts,image_url
70,1720,london,1,http://farm4.staticflickr.com/3793/11219007054_084680aa69_b.jpg
71,1720,london,1,http://farm8.staticflickr.com/7355/11172851503_50fbac092f_b.jpg
72,1720,london,1,http://farm6.staticflickr.com/5494/11219141473_b76af5c13b_b.jpg
73,1720,london,1,http://farm8.staticflickr.com/7419/11218987465_8cd69aa5c5_b.jpg
74,1720,london,1,http://farm6.staticflickr.com/5546/11219113533_74cd8520ed_b.jpg
75,1720,london,1,http://farm3.staticflickr.com/2875/11292812163_c0d26c7551_b.jpg
76,1720,london,1,http://farm4.staticflickr.com/3770/11219010096_d0a471d51f_b.jpg
77,1720,london,1,http://farm3.staticflickr.com/2835/11172651645_d8e011c90c_b.jpg
78,1720,london,1,http://farm6.staticflickr.com/5505/11218997854_f0d0842b21_b.jpg
79,1720,london,1,http://farm4.staticflickr.com/3803/11218980664_127845e77f_b.jpg
80,1720,london,1,http://farm3.staticflickr.com/2880/11219021525_3c6a695d3a_b.jpg
81,1720,london,1,http://farm6.staticflickr.com/5495/11172712924_b4b30b8e8f_b.jpg
82,1720,london,1,http://farm4.staticflickr.com/3758/11219015515_a27b7d90b6_b.jpg
83,1720,london,1,http://farm6.staticflickr.com/5525/11219030036_87bc12cd08_b.jpg
84,1720,london,1,http://farm4.staticflickr.com/3770/11219033265_4132073006_b.jpg
85,1720,london,1,http://farm4.staticflickr.com/3701/11218978094_117598bb7a_b.jpg
86,1720,london,1,http://farm4.staticflickr.com/3807/11172863603_0504ea58c1_b.jpg
87,1720,london,1,http://farm4.staticflickr.com/3814/11219142563_334845fb33_b.jpg
88,1720,london,1,http://farm4.staticflickr.com/3702/11219017566_646060cffc_b.jpg
89,1720,london,1,http://farm6.staticflickr.com/5499/11219010636_f945514c7d_b.jpg
90,1730,london,1,http://farm3.staticflickr.com/2819/11219063056_08aa46d384_b.jpg
91,1730,london,1,http://farm6.staticflickr.com/5503/11219183483_dd0425cef6_b.jpg
92,1730,london,1,http://farm8.staticflickr.com/7420/11219055955_63176c5b64_b.jpg
93,1730,london,1,http://farm8.staticflickr.com/7458/11219060255_299a6bfdf6_b.jpg
94,1730,"london, reprinted",1,http://farm6.staticflickr.com/5490/11219065525_022c52f3e4_b.jpg
95,1730,london,1,http://farm6.staticflickr.com/5531/11046511325_79dcd1e269_b.jpg
